Image,Xmin,Ymin,Xmax,Ymax
000245469491,0.150430,0.384805,0.912070,0.939414
0002b088c25d,0.111367,0.181680,0.939414,0.814414
00053c1f1825,0.115273,0.263711,0.896445,0.779258
0006a7853d1e,0.142617,0.279336,0.841758,0.775352
000a91b30b89,0.181680,0.353555,0.900352,0.853477
000d096ce65c,0.091836,0.232461,0.915977,0.892539
000de1f06ec3,0.099648,0.189492,0.904258,0.806602
000e4f1a1230,0.099648,0.224648,0.865195,0.767539
0011a44b747c,0.146523,0.330117,0.880820,0.830039
0013ba9653f4,0.044961,0.209023,0.896445,0.830039
00156992dcb6,0.123086,0.240273,0.900352,0.857383
00173bfec613,0.056680,0.134805,0.915977,0.826133
0018932e3016,0.130898,0.271523,0.845664,0.665977
001bf6b01811,0.103555,0.220742,0.900352,0.755820
001c1145e3a4,0.126992,0.166055,0.935508,0.771445
002095ada23f,0.126992,0.251992,0.978477,0.775352
00231886397b,0.080117,0.248086,0.900352,0.693320
00232ddef58d,0.052773,0.209023,0.923789,0.798789
002335e0164b,0.126992,0.224648,0.888633,0.775352
002d22cacbfd,0.076211,0.173867,0.915977,0.794883
00353d17277f,0.130898,0.263711,0.884727,0.759727
0035f65e72fd,0.115273,0.259805,0.904258,0.830039
003662853e46,0.111367,0.189492,0.873008,0.822227
0036e20e65a0,0.138711,0.240273,0.888633,0.806602
003a4fe0d603,0.134805,0.267617,0.888633,0.822227
003d04f1f423,0.099648,0.209023,0.931602,0.830039
004030176950,0.087930,0.220742,0.888633,0.763633
00446e44939d,0.091836,0.236367,0.892539,0.779258
00457ded8081,0.166055,0.259805,0.845664,0.740195
004a88a0eb0a,0.228555,0.341836,0.806602,0.830039
004b0b2a701b,0.095742,0.173867,0.892539,0.716758
004bc81151b4,0.080117,0.099648,0.923789,0.814414
004e0b5b2b14,0.076211,0.185586,0.951133,0.830039
004f42737709,0.084023,0.205117,0.912070,0.818320
005099dfdf45,0.095742,0.205117,0.884727,0.787070
0051d212f125,0.111367,0.197305,0.880820,0.814414
00554276aa1d,0.189492,0.244180,0.806602,0.771445
005665e2691b,0.103555,0.279336,0.873008,0.873008
005681fd0018,0.209023,0.306680,0.833945,0.720664
005a87b73116,0.130898,0.279336,0.931602,0.841758
005b0c70e236,0.107461,0.251992,0.873008,0.810508
005c9b52477a,0.126992,0.248086,0.779258,0.724570
005cadd21091,0.142617,0.259805,0.849570,0.767539
005ff608e09b,0.095742,0.255898,0.822227,0.865195
006318295372,0.091836,0.232461,0.931602,0.755820
0063a42dfa69,0.126992,0.232461,0.826133,0.794883
00662dc683f8,0.126992,0.259805,0.865195,0.798789
0068c0869928,0.087930,0.232461,0.939414,0.888633
006aa567f673,0.130898,0.197305,0.880820,0.790977
006bdbf13247,0.166055,0.177773,0.865195,0.822227
006cdec5cc3a,0.205117,0.267617,0.810508,0.802695
006fb2d306ce,0.126992,0.283242,0.818320,0.755820
00701e3d25a7,0.103555,0.251992,0.888633,0.880820
